iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
BMU,NAC,Bermuda,HIC,,17,9,6,26,29,13,,,,Yes,Yes,Yes,No,,64798,,,,525,,,82000,,,,,,,100,,,,,,,18,12,68,,,,2,,,,
BOL,LCN,Bolivia,LMC,26758341469,55,3,3,23,7,10,,,,Yes,Yes,Yes,No,Yes,10724705,,,35392,545183,,4683,2219052,,,6,,,,58,,,,85,,,0,0,,,56,,12,32,,,Source
BRA,LCN,Brazil,UMC,2256907026242,51,2,3,17,13,14,,,,Yes,Yes,Yes,Yes,,205962108,,45158165,1411900,,,260063,79889010,,,,,,,91,91,,,,,,0,22,,,16,,1,53,8,,
BRB,LCN,Barbados,HIC,4637855785,18,4,5,6,20,17,12,,19,No,Yes,No,No,No,280601,,184957,3800,9410,,,174815,,,,,,,90,,,,,,,,90,,,,,9,,1,,Disposal Site
BRN,EAS,Brunei Darussalam,HIC,13301457675,36,3,4,15,18,16,1,1,6,,Yes,Yes,Yes,Yes,423196,,,7700,,,195,216253,,,,,,,,,,,,,,2,,,,,,,70,28,,
BTN,SAS,Bhutan,LMC,2234759342,58,4,1,7,17,13,,,,No,Yes,Yes,Yes,Yes,686958,,,1458,,1476,358,111314,,,,,,,,,,,,95,,1,98,,,,,1,,,,Source
BWA,SSF,Botswana,UMC,16843294913,8,,0,92,,,,,,,,,,,2014866,,,16000,,,2500,210854,,7,,,,,,,,60,,,,,,,,,,1,,99,,
CAF,SSF,Central African Republic,LIC,1496562092,,,,,,,,,,,,Yes,No,,4515392,,,2700,,,,1105983,,,,,,,,,,,,,,,,,,,,,,,,
CAN,NAC,Canada,HIC,1828002272030,24,6,13,8,47,3,,,,Yes,Yes,Yes,Yes,Yes,35544564,181000000,653255,724000,,1118000000,,25103034,,,,,,,99,,,,,,,4,,3,72,,,21,,,,
CHE,ECS,Switzerland,HIC,642089703646,29,4,3,29,20,15,,,,,Yes,Yes,,Yes,8372098,,6390000,184000,1200000,1470000,,6056000,,,,,,,99,,,,,,,21,,47,,,,32,,,,
CHI,ECS,Channel Islands,HIC,,,,,,,,,,,,Yes,Yes,,,164541,,,,,,,178933,,,,,,,,,,,,,,16,39,16,,,,28,,,,
CHL,LCN,Chile,HIC,267904170064,53,7,2,16,12,9,,,,Yes,No,Yes,Yes,,16829442,,,176000,249755,,,6517000,,,,,,,,95,,,,,,0,85,0,,8,0,0,,5,,Other
CHN,EAS,China,UMC,9505156930655,61,2,1,13,10,10,1,2,,,Yes,Yes,Yes,,1371220000,4000000000,1500000000,7211000,34652400,3270790000,,210000000,,,20,,,,94,,,,,,,3,,30,60,8,,,,,,At Generator level
CIV,SSF,C̫te d�۪Ivoire,LMC,36796468787,,,,,,,,,,,Yes,Yes,Yes,,20401331,,,22000,,,,4440814,,,,,,,,,,,,,,,,,,,,3,,97,,
CMR,SSF,Cameroon,LMC,35051979601,83,0,1,10,2,3,,,,,,Yes,Yes,,21655715,,,19000,8717,,,3270617,,,,,,,62,,,,,,,,,,,80,,0,19,,,
COD,SSF,"Congo, Dem. Rep.",LIC,32089998961,,,,,,,,,,,,Yes,No,,78736153,,,,,,,14385226,,,,,,,,,,,,,,,,,,,,5,,95,,
COG,SSF,"Congo, Rep.",LMC,14205686708,,,,,,,,,,No,No,Yes,No,,2648507,,,,,,,451200,,,,,,,,,,,,,,,,,,,,26,,74,,
COL,LCN,Colombia,UMC,366456704286,60,2,1,16,8,13,,,,Yes,,No,Yes,,46406646,,,252200,270146,,27704,12150120,,24,,,,,81,,,97,,,,,,,,4,,17,89,,,
COM,SSF,Comoros,LIC,611370805,50,2,4,22,7,5,,,10,,,Yes,,,777424,,,600,,,,91013,,,,,,,,,,,,,,,,,,,,,,,,
CPV,SSF,Cabo Verde,LMC,1860165515,,,,,,,,,,Yes,Yes,Yes,,,513979,,,2400,3549,,76,132555,,,,,,,71,,,,,,,,,,,,,,,,,
CRI,LCN,Costa Rica,UMC,46551438317,58,1,2,7,21,11,,,,,,Yes,No,,4757575,,800000,35800,,,,1460000,,,,,,,90,,,,,,,,24,,,9,,1,68,,,
CUB,LCN,Cuba,UMC,,69,5,2,3,12,10,,,,No,No,No,Yes,Yes,11303687,,,,565216,,,2692692,,,0,,,,77,,,,100,,,,31,,,42,,9,,18,,Other
CUW,LCN,Curacao,HIC,,,,,,,,,,,,Yes,Yes,,,153822,,,,,,,24704,,,,,,,,,,,,,,,,,,,,2,,98,,
CYM,LCN,Cayman Islands,HIC,,11,4,6,11,31,11,,7,19,,Yes,Yes,,,59172,,,,,,,60000,,,,,,,,,,,,,,,,,,,,21,,79,,
CYP,ECS,Cyprus,HIC,24311614955,41,3,3,10,26,15,,2,,Yes,Yes,Yes,No,Yes,1160985,112018,1377767,18137,173377,,21404,541000,,,,,,,,92,,,,,,5,,,74,,,13,,8,,
CZE,ECS,Czech Republic,HIC,231340463131,62,2,8,15,9,2,,1,,,Yes,Yes,Yes,,10546059,583264,13379041,79581,1162342,,797432,3337000,,,,,,,,100,,,,,,4,,18,53,,,26,,0,,
DEU,ECS,Germany,HIC,3781698549835,30,10,1,18,24,13,4,,,,Yes,Yes,Yes,Yes,81686611,15011037,275413069,2465085,21812660,,8821344,51046000,,,,,,,,98,,,,,,18,,32,0,,,48,,2,,
DJI,MEA,Djibouti,LMC,,,,,,,,,,,,,,,,746221,,,900,,,,114997,,,,,,,,,,,,,,,,,,,,,,,,
DMA,LCN,Dominica,UMC,506021863,45,8,5,14,12,16,,,,Yes,Yes,Yes,No,,72400,,,,627,,,13176,,,,,,,94,,,,,,,,94,,,,,,,6,,Disposal site
DNK,ECS,Denmark,HIC,347519725466,13,6,6,24,12,2,0,8,30,Yes,Yes,Yes,Yes,Yes,5683483,1087281,11402900,168614,1718394,,317413,4485000,,,,,,,,100,,,,,,19,,53,1,,,27,,0,,
DOM,LCN,Dominican Republic,UMC,73664129265,51,6,3,10,16,10,,4,,No,Yes,No,No,,10528394,,,57000,,,,4063910,,,,,,75,,,,,,,,,,,,73,,8,0,19,,Other
DZA,MEA,Algeria,UMC,196034821993,54,1,3,1,10,17,13,2,,Yes,Yes,Yes,,Yes,40606052,,11000000,252000,330000,2547000,30000,12378740,,,88,,,,,,,,88,,,1,2,,,,,8,89,,,Disposal Site
ECU,LCN,Ecuador,UMC,85056519293,59,3,2,14,10,11,0,1,,Yes,Yes,No,Yes,Yes,16144368,,,73000,193812,,11292,5297211,,63,,,,88,,,,99,,,,,,,,22,,13,53,12,,
EGY,MEA,"Egypt, Arab Rep.",LMC,260816315726,56,4,2,15,10,13,,,,Yes,Yes,No,Yes,,87813257,30000000,4000000,497000,380000,6000000,28300,21000000,,,15,,,,,,,,58,,,7,,,7,84,,13,,,,Disposal Site
ERI,SSF,Eritrea,LIC,,,,,,,,,,,,,,,,4474690,,,3800,,,,726957,,,,,,,,,,,,,,,,,,,,,,,,
ESP,ECS,Spain,HIC,1464508831012,49,8,3,14,15,9,,2,,No,Yes,Yes,Yes,Yes,46447697,8058640,52155411,1202597,2984518,,2990346,20151000,,,,,,,,100,,,,,,16,,12,55,,,17,,,,
EST,ECS,Estonia,HIC,23808677023,37,8,3,16,18,19,,0,,Yes,Yes,Yes,No,Yes,1315407,149633,18094986,34312,10410321,,1750157,473000,,,,,,,,87,,,,,,4,7,51,,,,25,,13,,
ETH,SSF,Ethiopia,LIC,52347226230,88,1,1,4,4,2,,,,,Yes,Yes,,,99873033,,,49000,,,,6532787,,,,,,,,50,,,,,,,,,,43,,,,57,,
FIN,ECS,Finland,HIC,252692239710,36,9,2,13,38,1,,1,,Yes,Yes,Yes,Yes,Yes,5479531,1079091,84662998,212954,1998693,,1006713,2738000,,,,,,,,100,,,,,,12,,48,12,,,28,,0,,
FJI,EAS,Fiji,UMC,3771168286,33,4,2,4,13,8,0,,37,,Yes,Yes,Yes,,867086,,,4600,,,316,189390,,,,,,,,,,,,,,,,,52,,,5,,43,,Household waste collected
FRA,ECS,France,HIC,2806036371234,32,10,3,26,20,9,,,,,Yes,Yes,Yes,,66624068,11304163,236301207,2218682,10783405,,4867183,33399000,,,,,,,,100,,,,,,17,,35,26,,,22,,0,,
FRO,ECS,Faeroe Islands,HIC,,,,,,,,,,,,,Yes,No,,48842,,,,,,,61000,,,,,,,,,,,,,,,,,,,,67,,33,,
FSM,EAS,"Micronesia, Fed. Sts.",LMC,296282644,24,7,17,9,13,26,4,,,,Yes,Yes,None,,104937,,,200,,,73,26040,,,,,,,8,,,,35,,,,,,,,,,,,,
GAB,SSF,Gabon,UMC,18912467101,,,,,,,,,,,,,Yes,,1086137,,,14000,,,,238102,,,4,,,,24,,,,29,,,,,,,,,,,,,
GBR,ECS,United Kingdom,HIC,2757620259273,17,2,4,28,19,20,,8,3,Yes,Yes,Yes,No,,65128861,10365788,156803699,3584126,5755258,,4218205,31567000,,,,,,,,97,,,,,,16,,31,23,,,27,,3,,
GEO,ECS,Georgia,LMC,15189614351,39,3,5,16,34,3,,,,No,No,Yes,,,3717100,,,21000,,,,800000,,,,,,,60,,,,,,,,,,,,,,,,,
GHA,SSF,Ghana,LMC,48199090352,67,0,1,25,3,4,,,,,Yes,Yes,Yes,,21542009,,,39000,,,,3538275,,,,,,,,,,,,,,,,,,,,,,,,
GIB,ECS,Gibraltar,HIC,,25,4,4,14,34,16,,,,,Yes,Yes,Yes,Yes,33623,,30000,201,58995,,,16954,,,,,,,,,,,,,,,,,,,,,,,,
GIN,SSF,Guinea,LIC,9667718427,58,1,1,27,9,4,,,,,,Yes,Yes,,8132552,,,8000,,,,596911,,,,,,,,,,,,,,,,,,,,5,,95,,
GMB,SSF,"Gambia, The",LIC,1084318241,35,2,2,51,10,,,,,,Yes,Yes,No,,1311349,,,2200,,,,193441,,,,,,,,,,,,,,,,,,,,,,,,
GNB,SSF,Guinea-Bissau,LIC,1062488925,,,,,,,,,,,,,,,1770526,,,1000,,,,289514,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,SSF,Equatorial Guinea,UMC,15045964750,,,,,,,,,,,,,,,1221490,,,,,,,198443,,,,,,,,,,,,,,,,,,,,,,,,
GRC,ECS,Greece,HIC,244480923174,40,3,3,9,29,14,2,,,No,Yes,Yes,Yes,Yes,10892413,575225,59985396,188460,221041,,251623,5477424,100,,,,100,,,,100,,,,,,,,80,,1,19,,,,
GRD,LCN,Grenada,UMC,931118693,27,3,2,37,14,16,1,,,Yes,Yes,Yes,Yes,,105481,,,800,,,,29536,,,,,,98,,,,,,,,0,98,,,,2,,,,,Disposal Site
GRL,ECS,Greenland,HIC,2823634004,43,7,2,33,11,2,,1,,,,Yes,No,,56905,,,,730,,,50000,,,,,,,,,,,,,,,,40,60,,,,,,,
GTM,LCN,Guatemala,UMC,51421926688,38,4,,18,16,17,,,7,,,No,Yes,,16252429,,,55000,10051,,819,2756741,,,,,,,78,,,,,,,,10,,,70,,,15,5,,
GUM,EAS,Guam,HIC,5214914976,27,5,9,9,29,12,3,6,,,Yes,Yes,Yes,Yes,159973,,,,,,,141500,,,100,,,,100,,,,100,,,,,,,,,18,64,18,,
GUY,LCN,Guyana,UMC,2925825406,50,5,4,12,11,14,2,3,,No,Yes,No,No,No,746556,,,5000,742,,,179252,,,,,,,89,,,,,,,,,,61,,,1,,38,,Other
HKG,EAS,"Hong Kong SAR, China",HIC,270105365069,35,3,2,14,22,21,,3,,Yes,Yes,Yes,Yes,Yes,7305700,,1533000,70000,54812,,2268,5679816,,,,,,,100,,,,,,,,,,66,,,34,,,,
HND,LCN,Honduras,LMC,19545909275,58,1,2,7,17,14,0,,,No,,Yes,Yes,,9112867,,,1700,253,,,2162028,,,,,,,65,,,,,,,,60,,,15,,,11,14,,
HRV,ECS,Croatia,HIC,61095271083,31,4,2,12,23,23,,,6,Yes,Yes,Yes,Yes,,4203604,395664,805354,58078,130326,,56814,1654000,,,,,,,,98,,,,,,2,,,80,,,16,,2,,
HTI,LCN,Haiti,LIC,7911616492,61,2,3,17,4,13,,1,,No,No,No,No,No,10847334,,,6000,,,,2309852,,0,,,,12,,,,,24,,,,10,,,,,,,90,,Source
HUN,ECS,Hungary,HIC,147182870840,23,4,2,46,13,13,,,,Yes,Yes,Yes,Yes,Yes,9843028,699238,7605276,50066,596554,,489182,3712000,,,,,,,,100,,,,,,6,,14,54,,,26,,0,,
IDN,EAS,Indonesia,LMC,1037863871681,54,3,2,13,15,14,,,,,Yes,Yes,Yes,,261115456,122000000,,1274000,23000000,,82125,65200000,,,,,,,45,,,,,,,,,,69,10,14,7,,,,
IMN,ECS,Isle of Man,HIC,,,,,,,,,,,Yes,Yes,Yes,,Yes,80759,,122965,,,48783,,50551,,,,,,,,96,,,,,,,,25,25,,,50,,,,
IND,SAS,India,LMC,2466177043271,,,,,,,,,,No,Yes,Yes,Yes,Yes,1071477855,,27500000,1700000,7467000,,180785,168403240,,,,,,,,,,,,78,,18,,,,77,,5,,,,
IRL,ECS,Ireland,HIC,332361374828,17,9,4,26,25,12,,2,6,,Yes,Yes,Yes,Yes,4586897,554285,7898378,212874,482907,,776112,2692537,,,,,,,,92,,,,,,6,41,17,,,2,33,,1,,
IRN,MEA,"Iran, Islamic Rep.",UMC,540581175875,73,2,2,5,7,9,1,1,,No,Yes,Yes,Yes,No,80277428,16049000,80000000,630000,8000000,30000000,1609650,17885000,,,100,,,,100,,,,100,,0,12,10,0,,72,,5,,0,,Source
IRQ,MEA,Iraq,UMC,213937533187,69,2,1,6,10,5,5,1,1,No,No,No,,,36115649,,,221000,20622,,,13140000,,,,,,,76,,,,,,,,,,,100,,,,,,Source
ISL,ECS,Iceland,HIC,16434890343,10,,,,38,9,,29,14,,Yes,Yes,No,Yes,330815,5000,1000,7600,7000,10000,,525000,,,,,,,100,,,,,,,3,,2,30,,9,56,,,,
ISR,MEA,Israel,HIC,287807589783,34,3,3,16,24,18,,,2,,Yes,Yes,,Yes,8380100,,7000000,120000,321000,,,5400000,,,,,,,,,,,,,,,,,75,,,25,,,,
ITA,ECS,Italy,HIC,2080644597199,34,8,4,15,23,12,,4,,Yes,Yes,Yes,No,,60730582,6921585,61938678,2800026,8923548,,16071024,29524000,,,,,,,,89,,,,,,18,,19,26,,,26,,11,,
JAM,LCN,Jamaica,UMC,13801803130,62,3,2,5,15,12,,1,,Yes,Yes,Yes,Yes,Yes,2881355,,,17000,10000,,207,1051695,,28,,,,64,76,,,67,,,,,64,,,,29,,,7,,Source
JOR,MEA,Jordan,UMC,30811666897,50,2,2,16,15,16,,,,,No,Yes,Yes,,8413464,4000000,,43000,1230441,45000,4000,2529997,,,70,,,,,,,,90,,,,,,48,45,,7,,,,Disposal Site
JPN,EAS,Japan,HIC,6052671805314,36,5,4,6,33,11,1,4,,Yes,No,Yes,Yes,,127141000,35109000,72690000,518978,3600000,392840000,320000,43981000,,,,,,,100,,,,,,0,0,1,80,,,13,5,,,,Source
KAZ,ECS,Kazakhstan,UMC,188309161361,30,5,3,7,25,25,,3,,No,Yes,Yes,Yes,No,16791425,,,147000,,,,4659740,,,25,,,,77,,,,,,,,,,,60,,3,,37,,Disposal site
KEN,SSF,Kenya,LMC,55409230682,57,3,1,9,11,19,,,,,,Yes,,,41350152,,,17350,,,909182,5595099,,,,,,,40,40,,,,,,,,,,,,8,,92,,
KGZ,ECS,Kyrgyz Republic,LMC,6346700788,,,,,,,,,,No,Yes,Yes,Yes,,5956900,17900,3600,7200,4771346,,,1113300,,,,,,,,,,,,,,,,,,100,,,,,,Disposal Site
KHM,EAS,Cambodia,LMC,17009386902,67,3,2,10,4,9,,6,,No,Yes,Yes,Yes,,15270790,,,14000,,,147,1089000,,,,,,,,,,,50,,,,,,,,18,,,83,,
KIR,EAS,Kiribati,LMC,192869131,44,6,10,9,11,17,4,,,,Yes,Yes,No,,114395,,,100,,767,16,35724,,,,,,,54,,,,100,,,,,,,,,,,,,
KNA,LCN,St. Kitts and Nevis,HIC,858344680,27,8,9,12,21,23,,,,Yes,Yes,Yes,No,Yes,54288,,,700,,,,32892,,,,,,,95,,,,,,,,100,,,,,,,,,Disposal site
KOR,EAS,"Korea, Rep.",HIC,1305947523530,30,3,3,,41,24,,,,Yes,Yes,Yes,Yes,,50746659,,68119600,570635,,39810000,,18218975,,,,,,,100,100,,,,,,1,,25,16,,,58,,,,
KWT,MEA,Kuwait,HIC,142857292394,45,4,2,8,20,20,,1,1,No,Yes,Yes,,,2998083,,1149000,67000,203000,7000,33000,1750000,,,,,,,100,,,,,,,,,,,100,,,,,,Disposal Site
LAO,EAS,Lao PDR,LMC,11102149875,17,9,4,20,3,6,1,38,1,None,Yes,Yes,Yes,,6663967,,,7500,5200,49500,1200,351900,,,,35,,,,55,,,,60,,,30,,,60,,10,,,,At disposal site
LBN,MEA,Lebanon,UMC,42911390492,53,4,6,11,16,12,,,,No,Yes,No,No,No,5603279,,,51000,46000,,5568,2040000,,,99,,,,,,,,100,,,15,48,,,29,,8,,,,Source
LBR,SSF,Liberia,LIC,1627046588,,,,,,,,,,,Yes,Yes,Yes,,3512932,,,,,,,564467,,,,,,,,,,,,,,,,,,,,,,,,
LBY,MEA,Libya,UMC,36808842591,70,3,4,4,6,8,,3,,No,Yes,No,,,6193501,,3641150,70000,,,,2147596,,,,,,,,,,,,,,,,,,,,,,,,
LCA,LCN,St. Lucia,UMC,1489854701,45,7,5,11,10,22,,,,Yes,Yes,Yes,Yes,Yes,177206,,,1600,2732,,50,77616,,,,,,97,100,,,,,,,0,97,,,,3,,,1,,Disposal site
LIE,ECS,Liechtenstein,HIC,,38,5,13,9,30,5,,,,,Yes,Yes,No,,36545,2612,513728,293,1204,,127,32382,,,,,,,100,,,,,,,,,,,,,65,,35,,
LKA,SAS,Sri Lanka,LMC,79907042295,62,2,3,13,7,7,,6,,Yes,Yes,Yes,No,Yes,21203000,,65700,73,,53000,9855,2631650,,,,,,,,,,,,,,5,,,,85,,13,,,,Databases
LSO,SSF,Lesotho,LMC,2980616573,,,,,,,,,,,,,,,1965662,,,1800,,,,73457,,1,,,,4,20,,,12,,,,,,,,,,,,,,
LTU,ECS,Lithuania,HIC,45735444769,40,9,3,44,10,10,,1,,No,Yes,Yes,Yes,,2904910,551038,3011590,82691,165477,,70124,1300000,,,90,,,,,99,,,96,,,10,,12,54,,,23,,1,,
LUX,ECS,Luxembourg,HIC,63207264513,30,4,2,27,19,18,,,,Yes,Yes,Yes,No,,569604,95427,6272673,7398,237180,,47825,356000,,,,,,,,100,,,,,,20,,34,18,,,28,,0,,
LVA,ECS,Latvia,HIC,28871503534,47,21,3,10,6,8,4,2,,,Yes,Yes,Yes,Yes,1977527,105480,671423,25071,104142,,65624,857000,,,,,,,,84,,,,,,5,,,58,,,21,,16,,
MAC,EAS,"Macao SAR, China",HIC,31920853732,3,3,2,3,59,8,,22,,Yes,Yes,Yes,Yes,Yes,612167,,52000,11000,3118,,11493,377942,,,,,,,100,,,,,,,,,,,,,20,,80,,
MAF,LCN,St. Martin (French part),HIC,,,,,,,,,,,,,Yes,Yes,Yes,30959,,,,,,,15480,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MEA,Morocco,LMC,114783961363,60,2,3,6,9,8,,,,No,No,Yes,Yes,Yes,34318082,,7000000,30300,289385,1599711,21000,6852000,,,,,,,,,,,85,,,1,,,,52,2,8,37,,,Disposal site
MCO,ECS,Monaco,HIC,,,3,2,,2,1,,,,Yes,Yes,Yes,Yes,Yes,37783,,,,312,,,46000,,,,,,,100,,,,,,,,,85,,,,5,,10,,
MDA,ECS,Moldova,LMC,7354798041,55,4,3,23,5,10,,,,No,Yes,Yes,Yes,Yes,3554108,,1400000,6300,418,2841700,15700,3981200,,,,,,,,,,,,,,,,,,35,,15,,50,,Other
MDG,SSF,Madagascar,LIC,10356200861,,,,,,,,,,,,Yes,Yes,,24894551,,,14000,45957,,,3768759,,,,,,,18,,,,,,,4,,,,97,,,,,,
MDV,SAS,Maldives,UMC,3600398618,24,,1,1,6,3,,,65,No,Yes,Yes,No,Yes,409163,,6161,3004,15106,,1737,211506,,,,,,,38,,,,,,,7,,6,,,24,,,,63,Ministry forecast
MEX,LCN,Mexico,UMC,1259036981371,52,6,3,12,14,11,,,,Yes,,Yes,Yes,,125890949,,6000000,957900,18172,,978,53100000,,,,,,,,93,,,,,,,,,,21,,5,75,,,
MHL,EAS,Marshall Islands,UMC,179041794,8,2,6,31,11,13,,,29,,Yes,Yes,None,,52793,,,,,,43,8614,,,,,,,49,,,,66,,,6,,,,,,31,,63,,
MKD,ECS,"Macedonia, FYR",UMC,10924716122,29,4,3,20,13,14,1,1,16,Yes,Yes,Yes,Yes,,2081206,91933,121551,1220,40797,,951293,796585,,,,,,,73,77,,,,,,0,,,100,,,0,,,,Disposal Site
MLI,SSF,Mali,LIC,13421822111,18,1,4,73,4,2,,,,,,,Yes,,16006670,,,12000,,,,1937354,,,,,,,,,,,,,,,,,,,,,,,,
MLT,MEA,Malta,HIC,11868476821,52,6,4,10,18,12,,,,Yes,Yes,Yes,Yes,,431874,16607,1258426,7643,36523,106235,23418,269000,,,,,,,,97,,,,,,,,0,,,,7,90,3,,
MMR,EAS,Myanmar,LMC,74469832820,,,,,,,,,,,Yes,Yes,Yes,,46095462,,,55000,,54750,648,4677307,,,,,,,60,,,,,,,,,,,,8,,,92,,Household
MNE,ECS,Montenegro,UMC,4662831376,34,9,3,19,14,18,,3,,Yes,Yes,Yes,No,,622159,,92228,6200,3819,453792,2331,332000,,,,,,,76,97,,,,,,,,,,92,,5,,3,,
MNG,EAS,Mongolia,LMC,11825367387,23,,,50,13,15,,,,,,Yes,Yes,,3027398,,126300,14000,,81400,967,2900000,,,,40,,,,,,,,70,,,,,,94,,,,7,,
MNP,EAS,Northern Mariana Islands,HIC,1051785360,44,6,10,9,11,17,4,,,,Yes,Yes,,Yes,54036,,,,,,,32761,,,,,,,,,,,,,,,,,,,,36,,64,,
MOZ,SSF,Mozambique,LIC,14846071335,60,,,15,25,,,,,,Yes,Yes,,,27212382,,,17000,,,,2500000,,,,,,,,53,,,,,,,,,,99,,1,,,,
MRT,SSF,Mauritania,LMC,5574151157,5,4,4,60,7,20,,,,,,Yes,No,,3506288,,,5100,,,,454000,,,5,,,,,,,,30,,,,37,,,55,,8,,,,
MUS,SSF,Mauritius,UMC,12409842083,64,3,,8,13,12,,,,,,Yes,Yes,,1263473,,,11000,17000,,,438000,,,,,,,98,84,,,,,,9,,,,,,,91,,,
MWI,SSF,Malawi,LIC,8710223822,,,,,,,,,,,,,,,16577147,,,9500,,,,1297844,,,,,,,,,,,,,,,,,,,,,,,,
MYS,EAS,Malaysia,UMC,344052342368,46,3,3,9,14,15,3,7,,No,Yes,Yes,Yes,Yes,30228017,42000000,,280000,2918478,831835,19500,12982685,,,,,,,,95,,,,,,1,,,72,,,18,10,,,Landfill
NAM,SSF,Namibia,UMC,14950179757,,,,,,,,,,,,,,,1559983,,,14000,,,,256729,,,,,,,,,,,,,,,,,,,,5,,96,,
NCL,EAS,New Caledonia,HIC,,44,6,10,9,11,17,4,,,,,Yes,,,278000,,,,,,324,108157,,,,,,,67,,,,100,,,,,,,,,,,,,
NER,SSF,Niger,LIC,8106889865,38,,1,57,2,2,,,,,,Yes,Yes,,8842415,,,7900,554000,,,1865646,,,,,,,,,,,,,,,,,,64,12,4,,20,,
NGA,SSF,Nigeria,LMC,456775408620,,3,,11,8,5,,,,,,Yes,Yes,,154402181,,,277000,,,,27614830,,,,,,,,,,,,,,,,,40,,60,,,,,
NIC,LCN,Nicaragua,LMC,11955466051,,,,,,,,,,,,Yes,,,5737723,,,10800,2837,,,1528816,,,,,,,92,,,,,,,,,,20,59,21,,,,,
NLD,ECS,Netherlands,HIC,890135883869,35,5,4,20,21,14,,,,Yes,Yes,Yes,No,,16939923,14718640,96206470,534410,4830495,,2391871,8855000,,,,,,,,100,,,,,,27,,47,1,,,25,,,,
NOR,ECS,Norway,HIC,472765907757,15,5,6,13,27,2,,17,15,Yes,Yes,Yes,Yes,Yes,5188607,399805,3030449,150000,1482000,415000,1054590,2187000,,,,,,,99,,,,,,,17,,52,,,,26,3,1,,
NPL,SAS,Nepal,LIC,19856634053,52,4,2,7,18,15,1,,,,Yes,Yes,Yes,,28982771,,,23000,5051,,13408,1768977,,,,50,,,,62,,,,80,,3,,,37,,,,,60,,At generator level
NRU,EAS,Nauru,UMC,125930268,44,6,10,9,11,17,4,,,,Yes,Yes,No,,13049,,,,,,,6192,,,,,,,100,,,,100,,,,,,,,,,,,,
NZL,EAS,New Zealand,HIC,176128560657,28,4,5,37,7,8,1,11,,Yes,Yes,Yes,Yes,Yes,4692700,133,3000000,95000,,1750000,,3405000,,,,,,,97,,,,,,,,,,100,,,,,,,
OMN,MEA,Oman,HIC,75054356307,27,6,,24,15,21,,2,5,No,Yes,Yes,Yes,,3960925,,735341,59000,1469835,,4500,1734885,,,,,,,,,,,,,,,0,,,100,,,,,,
PAK,SAS,Pakistan,LMC,227866886766,30,6,4,20,13,9,2,2,14,No,Yes,No,Yes,,193203476,82120000,,301000,1538000,,292000000,30760000,,,,30,,,,,,,,70,,2,,,40,50,,8,,,,Waste generated in 8 cities
PAN,LCN,Panama,HIC,44789036003,46,6,4,6,26,12,,,,,,Yes,,,3969249,,,3200,,,3095,1472262,,,,,,,85,,,,,,,,16,,,23,19,,42,,,
